"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp"
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","8913766544404591273840102555401367703336210339492029327878183015447983726815","0x545ca8fe1dd5842b534dd6a7b117a8f33613a0ca091e58f53943da58d092f98c",0.377567,1538.846433,-581.017631,0.0,"Bitcoin Up or Down - March 9, 6:20PM-6:25PM ET",btc-updown-5m-1773094800,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773094800,Down,1,Up,"103137023693145949461602548924884724819844141827818121713590513193018248402629","2026-03-09T00:00:00Z",1773095325
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","103137023693145949461602548924884724819844141827818121713590513193018248402629","0x545ca8fe1dd5842b534dd6a7b117a8f33613a0ca091e58f53943da58d092f98c",0.64122,2182.803837,783.14636,1.0,"Bitcoin Up or Down - March 9, 6:20PM-6:25PM ET",btc-updown-5m-1773094800,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773094800,Up,0,Down,"8913766544404591273840102555401367703336210339492029327878183015447983726815","2026-03-09T00:00:00Z",1773095325
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","85517828418624228460815712981434185930704014841455802566778190325639451092074","0x2e36c897e5e278d4bffe6dd63096ccc8f73e93febec7e40c2f48669b2905434a",0.71666,2083.475669,590.331996,1.0,"Bitcoin Up or Down - March 9, 6:15PM-6:20PM ET",btc-updown-5m-1773094500,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773094500,Down,1,Up,"31448198544083938232299995734795027742973518006346379480035884775798972513891","2026-03-09T00:00:00Z",1773094925
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","31448198544083938232299995734795027742973518006346379480035884775798972513891","0x2e36c897e5e278d4bffe6dd63096ccc8f73e93febec7e40c2f48669b2905434a",0.283079,1295.94069,-366.853594,0.0,"Bitcoin Up or Down - March 9, 6:15PM-6:20PM ET",btc-updown-5m-1773094500,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773094500,Up,0,Down,"85517828418624228460815712981434185930704014841455802566778190325639451092074","2026-03-09T00:00:00Z",1773094925
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","70861035977090527430433967680157654902744153339348994931024418206677088782100","0x3e90b3ed2185876a7d989a8068e009fbf61960a705c85c0d61366d822ff307c5",0.5997,2980.502408,-1787.407294,0.0,"Bitcoin Up or Down - March 9, 6:10PM-6:15PM ET",btc-updown-5m-1773094200,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773094200,Down,1,Up,"36827067448006683336415135870851494520964191238883935830401088050544633525842","2026-03-09T00:00:00Z",1773094725
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","36827067448006683336415135870851494520964191238883935830401088050544633525842","0x3e90b3ed2185876a7d989a8068e009fbf61960a705c85c0d61366d822ff307c5",0.379431,2271.725608,1409.762488,1.0,"Bitcoin Up or Down - March 9, 6:10PM-6:15PM ET",btc-updown-5m-1773094200,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773094200,Up,0,Down,"70861035977090527430433967680157654902744153339348994931024418206677088782100","2026-03-09T00:00:00Z",1773094725
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","74851723672933632760527832435140174769411452396288773738649927187958795528737","0x931d97f81e1c6eec1ee9396feea1e90acc3ec01271bd3273e8fe3c8513dd63b6",0.66005,2221.728591,-1466.451956,0.0,"Bitcoin Up or Down - March 9, 6:05PM-6:10PM ET",btc-updown-5m-1773093900,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093900,Up,0,Down,"112235590239145830058128315591450765670111093835629076763600151748306752149241","2026-03-09T00:00:00Z",1773094525
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","112235590239145830058128315591450765670111093835629076763600151748306752149241","0x931d97f81e1c6eec1ee9396feea1e90acc3ec01271bd3273e8fe3c8513dd63b6",0.336554,1529.262908,1014.583359,1.0,"Bitcoin Up or Down - March 9, 6:05PM-6:10PM ET",btc-updown-5m-1773093900,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093900,Down,1,Up,"74851723672933632760527832435140174769411452396288773738649927187958795528737","2026-03-09T00:00:00Z",1773094525
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","88729991984068567202019289994449259552114548763641157323275555327782112815529","0x24cf5a3aa1211ebf2d0ec43ba3ccf0d3e4a83d36da0a87fefe259868092f6925",0.594517,2479.987966,-1474.395005,0.0,"Bitcoin Up or Down - March 9, 6:00PM-6:05PM ET",btc-updown-5m-1773093600,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093600,Up,0,Down,"27502648311827996719265337702800651287522738384242441889574372186114360660221","2026-03-09T00:00:00Z",1773094125
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","27502648311827996719265337702800651287522738384242441889574372186114360660221","0x24cf5a3aa1211ebf2d0ec43ba3ccf0d3e4a83d36da0a87fefe259868092f6925",0.361189,1326.921564,847.652091,1.0,"Bitcoin Up or Down - March 9, 6:00PM-6:05PM ET",btc-updown-5m-1773093600,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093600,Down,1,Up,"88729991984068567202019289994449259552114548763641157323275555327782112815529","2026-03-09T00:00:00Z",1773094125
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","105739794968851291679545883369192217012554631060227360063977763904219769986299","0x89bead26b646f2093dc318df8c63cdf0b0af958070f5f7aa08a5a3164b0f12ee",0.6328779999999998,4454.13884,-2818.92648,0.0,"Bitcoin Up or Down - March 9, 5:55PM-6:00PM ET",btc-updown-5m-1773093300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093300,Up,0,Down,"1033474415660321455724735570980463762576174487221853229906738823609278372645","2026-03-09T00:00:00Z",1773093925
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","1033474415660321455724735570980463762576174487221853229906738823609278372645","0x89bead26b646f2093dc318df8c63cdf0b0af958070f5f7aa08a5a3164b0f12ee",0.325493,3992.829118,2693.191189,1.0,"Bitcoin Up or Down - March 9, 5:55PM-6:00PM ET",btc-updown-5m-1773093300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093300,Down,1,Up,"105739794968851291679545883369192217012554631060227360063977763904219769986299","2026-03-09T00:00:00Z",1773093925
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","59213883008726062517044552570125424210964255790775686766068012736815655470734","0xae41d416ded4a79bae8fd27a2a1960482a5faf71cc60d54444261fa3ed77cf15",0.40573,1552.373243,922.528847,1.0,"Bitcoin Up or Down - March 9, 5:50PM-5:55PM ET",btc-updown-5m-1773093000,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093000,Down,1,Up,"108594363408132255221249864086141880682450838873669089062765693144652766397469","2026-03-09T00:00:00Z",1773093525
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","108594363408132255221249864086141880682450838873669089062765693144652766397469","0xae41d416ded4a79bae8fd27a2a1960482a5faf71cc60d54444261fa3ed77cf15",0.528255,1487.2598369999998,-785.652445,0.0,"Bitcoin Up or Down - March 9, 5:50PM-5:55PM ET",btc-updown-5m-1773093000,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773093000,Up,0,Down,"59213883008726062517044552570125424210964255790775686766068012736815655470734","2026-03-09T00:00:00Z",1773093525
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","6430205106644781560577628032908313092165024645294847861683277924531646692856","0xa845633fbf58138f882eb6c27ee34807a3932b10713f63256873d58ae59d9afb",0.395695,3108.611017,1878.5491800000002,1.0,"Bitcoin Up or Down - March 9, 5:45PM-5:50PM ET",btc-updown-5m-1773092700,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773092700,Up,0,Down,"2202280346587378395179646093308187698201010429167430695825329865317405641380","2026-03-09T00:00:00Z",1773093223
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","2202280346587378395179646093308187698201010429167430695825329865317405641380","0xa845633fbf58138f882eb6c27ee34807a3932b10713f63256873d58ae59d9afb",0.55622,3429.005387,-1907.281376,0.0,"Bitcoin Up or Down - March 9, 5:45PM-5:50PM ET",btc-updown-5m-1773092700,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773092700,Down,1,Up,"6430205106644781560577628032908313092165024645294847861683277924531646692856","2026-03-09T00:00:00Z",1773093223
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","36058589761709535033942355565874940061238669345948761848485747706358063522976","0xe46a80e3c39623f66d4ba2d1372fa6f56223e435cf59f3f461287aaa1578ab8c",0.555631,8088.919778,-4494.454585,0.0,"Bitcoin Up or Down - March 9, 5:40PM-5:45PM ET",btc-updown-5m-1773092400,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773092400,Down,1,Up,"21287445830110684248947212581837461530695950745380749811339408489842327795763","2026-03-09T00:00:00Z",1773092923
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","21287445830110684248947212581837461530695950745380749811339408489842327795763","0xe46a80e3c39623f66d4ba2d1372fa6f56223e435cf59f3f461287aaa1578ab8c",0.476569,9130.935285,4779.414587,1.0,"Bitcoin Up or Down - March 9, 5:40PM-5:45PM ET",btc-updown-5m-1773092400,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773092400,Up,0,Down,"36058589761709535033942355565874940061238669345948761848485747706358063522976","2026-03-09T00:00:00Z",1773092923
